,proyecto,entidad,sectorial,P2017,C2017,D2017,P2018,C2018,D2018,P2019,C2019,D2019,P2020,C2020,D2020,P2021,C2021,D2021,text
3228,   registro de emisiones y transferencias de contaminantes.,  ministerio del ambiente y agua,  sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55454.83,106782.81,55685.83,0.0,0.0,0.0,  ministerio del ambiente y agua   registro de emisiones y transferencias de contaminantes.  sectorial ambiente
3229,   registro social,  instituto nacional de estadisticas y censos,  sectorial administrativo,0.0,0.0,0.0,1601638.25,15657917.14,3402518.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  instituto nacional de estadisticas y censos   registro social  sectorial administrativo
3230,   registro social,  ministerio de inclusion economica y social,  sectorial bienestar social,0.0,0.0,0.0,32154824.42,68422020.92,32897829.750000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de inclusion economica y social   registro social  sectorial bienestar social
3231,   registro social,  secretaria nacional de planificacion y desarrollo  senplades,  sectorial administrativo,0.0,0.0,0.0,8248828.38,75070039.18,10758034.579999998,3632288.1799999997,49819020.48999999,3661442.78,0.0,0.0,0.0,0.0,0.0,0.0,  secretaria nacional de planificacion y desarrollo  senplades   registro social  sectorial administrativo
3232,   registro y puesta en valor del patrimonio de la cultura mantena de los cerros hojas   jaboncillo   negrita   bravo,  corporacion ciudad alfaro,  sectorial educacion,1137901.2,2347700.67,1139560.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  corporacion ciudad alfaro   registro y puesta en valor del patrimonio de la cultura mantena de los cerros hojas   jaboncillo   negrita   bravo  sectorial educacion
3233,   registro y puesta en valor del patrimonio de la cultura mantena de los cerros hojas jaboncillo negrita bravo y guay,  ministerio de transporte y obras publicas,  sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   registro y puesta en valor del patrimonio de la cultura mantena de los cerros hojas jaboncillo negrita bravo y guay  sectorial comunicaciones
3234,"   rehab y mtto c. cuenca  molleturo empalme (puerto inca  naranjal) de . km. incl repar ptes cuenca, quinoas",  ministerio de transporte y obras publicas,  sectorial  comunicaciones,13660664.73,26470123.990000002,13660664.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  ministerio de transporte y obras publicas   rehab y mtto c. cuenca  molleturo empalme (puerto inca  naranjal) de . km. incl repar ptes cuenca, quinoas  sectorial  comunicaciones"
3235,   rehabilit. mes.y mntto.  mes.c.vilcabamba bellavista zumba la balsa tr.vilcabamba yanga valladolid palanda be,  ministerio de transporte y obras publicas,  sectorial  comunicaciones,0.0,94959.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilit. mes.y mntto.  mes.c.vilcabamba bellavista zumba la balsa tr.vilcabamba yanga valladolid palanda be  sectorial  comunicaciones
3236,   rehabilitacin y reconstruccin de la infraestructura afectada por el sismo del  de abril del  en el aeropuerto internacional eloy alfaro de la ciudad de manta,  ministerio de transporte y obras publicas,  sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25909924.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacin y reconstruccin de la infraestructura afectada por el sismo del  de abril del  en el aeropuerto internacional eloy alfaro de la ciudad de manta  sectorial comunicaciones
3237,   rehabilitacin y reconstruccin de las calles de la ciudad de pedernales cantn pedernales provincia de manab.,  ministerio de transporte y obras publicas,  sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677410.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de transporte y obras publicas   rehabilitacin y reconstruccin de las calles de la ciudad de pedernales cantn pedernales provincia de manab.  sectorial comunicaciones
